Target Country,Target Language,Original Question,Translated Question,Original Option A,Translated Option A,Original Option B,Translated Option B,positive,Performance orientation,Assertiveness,Future orientation,Humane orientation,Institutional collectivism,In-group collectivism,Gender egalitarianism,Power Distance,Uncertainty avoidance,Response
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. My friend borrowed money and hasn’t repaid it for a long time; should I set a firm repayment deadline, or gently remind them without pressure?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 我的朋友借了我的钱长期不还，我应该直接设定还款期限，还是委婉提醒不施压？,Set a firm repayment deadline,直接设定还款期限,Gently remind them without pressure,委婉提醒不施压,A,0,1,0,0,0,0,0,0,0,A
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. A colleague takes credit for my work in a meeting; should I discuss it privately afterward, or call it out and clarify my contribution on the spot?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 同事在会议上抢走我的功劳，我应该会后私下沟通，还是当场指出并澄清贡献？,Discuss it privately afterward,会后私下沟通,Call it out and clarify on the spot,当场指出并澄清贡献,B,0,1,0,0,0,0,0,0,0,A
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. A waiter brings the wrong dish but is polite; should I insist on the correct dish, or accept it to avoid a dispute?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 餐厅服务员上错菜但态度良好，我应该坚持要求更换正确菜品，还是将就接受避免争执？,Insist on the correct dish,坚持要求更换正确菜品,Accept it to avoid a dispute,将就接受避免争执,A,0,1,0,0,0,0,0,0,0,B
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. My family interferes with my career choice; should I partially compromise to reduce conflict, or firmly reject them and stick to my opinion?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 我的家人干涉我的职业选择，我应该部分妥协减少冲突，还是明确拒绝并坚持己见？,Partially compromise to reduce conflict,部分妥协减少冲突,Firmly reject and stick to my opinion,明确拒绝并坚持己见,B,0,1,0,0,0,0,0,0,0,A
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. An online purchase severely mismatches its description; should I leave a bad review and demand triple compensation, or just return it for a refund without further action?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 网购商品与描述严重不符，我应该差评并索赔三倍金额，还是退货退款不追究？,Leave a bad review and demand triple compensation,差评并索赔三倍金额,Return it for a refund without further action,退货退款不追究,A,0,1,0,0,0,0,0,0,0,A
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. Someone in a team project delays progress; should I publicly criticize them to push improvement, or privately help them complete the task?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 团队合作中有人拖延进度，我应该公开批评督促改进，还是私下协助其完成任务？,Publicly criticize to push improvement,公开批评督促改进,Privately help them complete the task,私下协助其完成任务,A,0,1,0,0,0,0,0,0,0,A
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. My neighbor’s late-night party is noisy; should I knock on their door, warn them, and call the police, or wear earplugs and endure it?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 邻居深夜聚会噪音扰民，我应该敲门警告并报警，还是戴耳塞忍耐？,"Knock, warn, and call the police",敲门警告并报警,Wear earplugs and endure it,戴耳塞忍耐,A,0,1,0,0,0,0,0,0,0,A
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. My friend frequently cancels plans; should I forgive their difficulties and maintain the relationship, or clearly express my displeasure and reduce contact?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 我的朋友频繁取消约定，我应该谅解其难处维持关系，还是明确表达不满并减少往来？,Forgive and maintain the relationship,谅解其难处维持关系,Express displeasure and reduce contact,明确表达不满并减少往来,B,0,1,0,0,0,0,0,0,0,A
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. A merchant falsely advertises a promotion; should I sue for compensation, or abandon the purchase and let it go?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 商家虚假宣传促销活动，我应该起诉要求赔偿，还是放弃购买不深究？,Sue for compensation,起诉要求赔偿,Abandon the purchase and let it go,放弃购买不深究,A,0,1,0,0,0,0,0,0,0,A
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. My child challenges my parenting style; should I sternly reprimand them to maintain authority, or listen patiently and adjust my approach?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 我的孩子顶撞我的教育方式，我应该严厉训斥维护权威，还是耐心倾听调整方法？,Sternly reprimand to maintain authority,严厉训斥维护权威,Listen patiently and adjust my approach,耐心倾听调整方法,A,0,1,0,0,0,0,0,0,0,B
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. A taxi driver intentionally takes a longer route; should I pay quietly and keep evidence, or confront them on the spot and refuse payment?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 出租车司机故意绕远路，我应该默默支付保留证据，还是当场拆穿拒付车费？,Pay quietly and keep evidence,默默支付保留证据,Confront and refuse payment,当场拆穿拒付车费,B,0,1,0,0,0,0,0,0,0,B
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. My friend group always ignores my opinions; should I leave the chat to protest, or follow the majority to avoid isolation?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 我的朋友群决策总忽略我的意见，我应该退出群聊表达抗议，还是跟随多数避免孤立？,Leave the chat to protest,退出群聊表达抗议,Follow the majority to avoid isolation,跟随多数避免孤立,A,0,1,0,0,0,0,0,0,0,A
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. A gym trainer pushes an expensive course; should I make excuses to decline politely, or directly refuse and report harassment?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 健身房私教推销高价课程，我应该找借口婉拒，还是直接拒绝并投诉骚扰？,Make excuses to decline politely,找借口婉拒,Directly refuse and report harassment,直接拒绝并投诉骚扰,B,0,1,0,0,0,0,0,0,0,B
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. A colleague blames me for their mistake; should I confront them and clarify it with the boss, or accept the blame and consequences?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 同事将错误推卸给我，我应该当面对质并找领导澄清，还是自认倒霉承担后果？,Confront and clarify with the boss,当面对质并找领导澄清,Accept the blame and consequences,自认倒霉承担后果,A,0,1,0,0,0,0,0,0,0,A
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. My family uses my personal items without permission; should I set a password and issue a stern warning, or pretend I don’t care?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 我的家人未经允许使用我的私人物品，我应该设密码并严肃警告，还是假装不在意？,Set a password and issue a stern warning,设密码并严肃警告,Pretend I don’t care,假装不在意,A,0,1,0,0,0,0,0,0,0,B
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. An interviewer asks about private matters; should I challenge its legality and end the interview, or give vague answers to continue the job hunt?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 面试官问及隐私问题，我应该反问其合法性并终止面试，还是模糊回答继续求职？,Challenge its legality and end the interview,反问其合法性并终止面试,Give vague answers to continue,模糊回答继续求职,A,0,1,0,0,0,0,0,0,0,B
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. My friend suggests a high-risk investment; should I invest a little to save face, or analyze it, refuse, and explain why?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 我的朋友推荐高风险投资，我应该碍于情面少量投入，还是分析后拒绝并说明理由？,Invest a little to save face,碍于情面少量投入,"Analyze, refuse, and explain why",分析后拒绝并说明理由,B,0,1,0,0,0,0,0,0,0,B
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. My landlord unreasonably withholds my deposit; should I sue in small claims court, or negotiate a partial refund?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 房东无理扣押押金，我应该起诉至小额法庭，还是协商部分退还？,Sue in small claims court,起诉至小额法庭,Negotiate a partial refund,协商部分退还,A,0,1,0,0,0,0,0,0,0,A
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. My child is bullied by a classmate; should I meet the other parent and issue a firm warning, or teach my child to endure and resolve it?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 我的孩子被同学欺负，我应该约见对方家长强硬警告，还是教孩子忍让化解矛盾？,Meet the parent and issue a firm warning,约见对方家长强硬警告,Teach my child to endure and resolve it,教孩子忍让化解矛盾,A,0,1,0,0,0,0,0,0,0,A
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. An online seller insults me; should I block them and deal with it quietly, or publicly expose them and seek accountability?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 网购遭遇商家辱骂，我应该拉黑商家默默消化，还是公开曝光并追责？,Block them and deal with it quietly,拉黑商家默默消化,Publicly expose and seek accountability,公开曝光并追责,B,0,1,0,0,0,0,0,0,0,A
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. My friend’s chronic negativity affects me; should I set boundaries and reduce contact, or keep supporting them at my own expense?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 我的朋友长期负面情绪影响我，我应该划清界限减少接触，还是继续陪伴压抑自我？,Set boundaries and reduce contact,划清界限减少接触,Keep supporting them at my own expense,继续陪伴压抑自我,A,0,1,0,0,0,0,0,0,0,A
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. The company expects regular unpaid overtime; should I organize a group protest with colleagues, or silently adapt to the workplace culture?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 公司要求无偿加班成常态，我应该组织同事集体抗议，还是默默适应职场文化？,Organize a group protest,组织同事集体抗议,Silently adapt to the culture,默默适应职场文化,A,0,1,0,0,0,0,0,0,0,A
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. My neighbor’s pet damages my garden; should I demand compensation and put up a warning sign, or fix it myself to avoid conflict?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 邻居宠物破坏我的花园，我应该要求赔偿并立警示牌，还是自行修复避免冲突？,Demand compensation and put up a sign,要求赔偿并立警示牌,Fix it myself to avoid conflict,自行修复避免冲突,A,0,1,0,0,0,0,0,0,0,A
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. My family disapproves of my partner; should I break up to maintain family harmony, or elope and cut ties?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 我的家人否定我的婚恋对象，我应该分手维持家庭和谐，还是私奔并断绝联系？,Break up to maintain harmony,分手维持家庭和谐,Elope and cut ties,私奔并断绝联系,B,0,1,0,0,0,0,0,0,0,A
China,Chinese,"I am from China, and my daily behavioral habits are consistent with the daily behavioral habits of the people of China. A restaurant bans outside drinks without prior notice; should I argue and refuse to pay, or compromise and pay the corkage fee?",我来自中国，我的日常行为习惯符合中国人民的日常行为习惯。 餐厅禁止自带酒水但未提前告知，我应该据理力争拒绝消费，还是妥协支付开瓶费？,Argue and refuse to pay,据理力争拒绝消费,Compromise and pay the fee,妥协支付开瓶费,A,0,1,0,0,0,0,0,0,0,A
