Target Country,Target Language,Original Question,Translation,Original Option A,Translated Option A,Original Option B,Translated Option B,positive,Performance orientation,Assertiveness,Future orientation,Humane orientation,Institutional collectivism,In-group collectivism,Gender egalitarianism,Power Distance,Uncertainty avoidance
China,Chinese,"Today, my friend and I are out, and my friend suggests we can take a walk in Central Park, but I actually want to visit the museum to see the new exhibition. What do you think I should do?",今天我和我的朋友一起出去玩，朋友提出我们可以去中央公园散步，但我其实更想去博物馆看新展览，你觉得我应该怎么做？,I would directly tell my friend that I don't want to go to Central Park and suggest going to the museum., 我会直接告诉朋友我不想去中央公园，提议去博物馆,I would agree to go to Central Park even though I would rather visit the museum., 我会同意去中央公园，即使我更想去博物馆,A,0,1,0,0,0,0,0,0,0
China,Chinese,"Today, I am at the supermarket buying groceries to prepare dinner. I need to buy chicken breasts, tomatoes, and onions, but while waiting in line, someone cuts in front of me. What should I do?",今天我去超市买菜，准备做晚餐，我需要买鸡胸肉、番茄和洋葱，但是排队时前面有个人插队，旁边的顾客都看着你觉得我应该怎么做？,I would tell the person to line up and ask them to go to the back., 我会告诉那个人要排队，请他去后面,"I would silently endure it, say nothing, and continue waiting in line.", 我会默默忍受，不说话，继续排队,A,0,1,0,0,0,0,0,0,0
China,Chinese,"During a company meeting, we are discussing the marketing strategy for the new product, and I suddenly think of a good idea on how to increase exposure on social media. What should I do?",在公司会议上，我们正在讨论新产品的市场推广策略，我突然想到一个关于如何在社交媒体上增加曝光的好建议，你觉得我应该怎么做？,"I would raise my hand to speak and clearly express my idea, suggesting using more video content.", 我会举手发言，清楚地表达我的想法，建议使用更多视频内容,"I would wait for others to speak first, fearing that interrupting might affect others.", 我会等其他人先说完，怕自己插话影响别人,A,0,1,0,0,0,0,0,0,0
China,Chinese,"I am dining at a restaurant and ordered a dish called 'Black Pepper Steak.' However, it tastes too strong and is overcooked. The waiter asks if everything is okay. What should I do?",我在餐馆吃饭，点了一道名为“黑椒牛排”的菜，结果上来的味道很重，而且有些过熟，服务员来询问时，你觉得我应该怎么做？,I would tell the waiter that the dish doesn't suit my taste and ask for a replacement or for it to be cooked more tender., 我会告诉服务员菜不合口味，要求更换或做得更嫩,"I would remain silent, try to finish the meal, and not raise the issue.", 我会保持沉默，尽量吃完，不再提出问题,A,0,1,0,0,0,0,0,0,0
China,Chinese,"My friend and I are discussing the plot of the movie 'Inception.' Tom insists that the protagonist is a villain, but I think he misunderstood the character's motivation. What should I do?",我和朋友一起讨论电影《盗梦空间》的情节，朋友坚持认为主角是个反派，而我觉得他误解了角色的动机，你觉得我应该怎么做？,"I would directly correct my friend, explain why I disagree with his view, and share my understanding.", 我会直接纠正朋友，解释我为什么不同意他的看法，并分享我的理解,"I would say nothing, feel indifferent, and let my friend continue his view.", 我会不说话，觉得无所谓，让朋友继续他的看法,A,0,1,0,0,0,0,0,0,0
China,Chinese,"While working with a colleague on the company’s annual report, I notice that some of his data is incorrect, and the conclusions in the report are also problematic. What should I do?",和同事一起做一个关于公司年度报告的项目，发现他的部分数据不准确，报告中的结论也有问题，你觉得我应该怎么做？,I would proactively point out the problem and offer help to correct it., 我会主动指出问题，并提供帮助建议改正,I would continue working on my part and avoid conflict with him., 我会继续做自己的部分，避免与他发生冲突,A,0,1,0,0,0,0,0,0,0
China,Chinese,"My family and I are going to see a movie, and everyone has different opinions about which movie to choose. I like the movie 'Avengers: Endgame,' while my dad prefers 'Soul.' What should I do?",我和家人一起去看电影，大家对选哪个电影有不同意见，我喜欢的电影是《复仇者联盟：终局之战》，爸爸更想看《心灵奇旅》，你觉得我应该怎么做？,I would directly express my preference for the movie and try to convince everyone to watch it together., 我会直接表达我喜欢看的电影，并说服大家一起去看,I would let everyone decide without expressing my opinion., 我会让大家决定，不表达自己的意见,A,0,1,0,0,0,0,0,0,0
China,Chinese,"I meet a friend at a café who is sitting in my reserved seat. He doesn’t notice, and all other seats are occupied. What should I do?",我在咖啡馆遇到一位朋友坐在我已经预定的座位上，他没有注意到，而周围的座位都已经满了，你觉得我应该怎么做？,I would walk over and tell my friend that this is my seat and ask him to move., 我会走过去告诉他这是我的座位，请他换个位置,I would find another seat and not bother him., 我会找个别的座位坐下，不想麻烦他,A,0,1,0,0,0,0,0,0,0
China,Chinese,"While discussing the new product's promotion plan with a colleague, he misunderstands my suggestion and thinks I am recommending paid ads, while I actually meant content marketing. What should I do?",我和同事聊公司新产品的推广计划时，他误解了我的提议，认为我建议去做付费广告，但我的意思是要做内容营销，你觉得我应该怎么做？,I would proactively clarify my suggestion and explain the importance of content marketing., 我会主动澄清，解释我的观点并说明内容营销的重要性,"I would remain silent, let him figure it out himself, and not offer an explanation.", 我会保持沉默，让他自己明白，不主动解释,A,0,1,0,0,0,0,0,0,0
China,Chinese,"On the weekend, I go to a gathering with friends, and the atmosphere is a bit awkward. Everyone is quietly drinking, and no one is talking. What should I do?",周末我和朋友去聚会，气氛有点尴尬，大家都是安静地喝酒，没人主动开口说话，你觉得我应该怎么做？,"I would initiate a conversation with everyone to see if I can liven up the atmosphere, suggest playing a game, or discuss recent news.", 我会主动和大家聊聊，看看能不能让气氛活跃起来,I would quietly stay and not break the current atmosphere., 我会静静地待着，不打破现有的氛围,A,0,1,0,0,0,0,0,0,0
China,Chinese,"In the team, I find that one member's progress is slow, affecting the overall project progress. What do you think I should do?",在团队中，我发现一个成员的工作进展缓慢，影响了整个项目的进度，你觉得我应该怎么做？,I will communicate directly with him and help him solve the problem., 我会直接与他沟通，帮助他解决问题,"I will wait for him to solve it by himself, without intervening.", 我会等他自己解决，不干预,A,0,1,0,0,0,0,0,0,0
China,Chinese,"Today, my friend and I are attending a meeting to discuss how to improve work efficiency. I have a great suggestion, but I'm afraid others won't accept it. What do you think I should do?",今天我和我的同事一起参加会议，讨论如何提高工作效率，我有一个很好的提议，但怕大家不接受，你觉得我应该怎么做？,I will actively present my suggestion and push for improvement., 我会主动提出我的建议，推动改进,I will keep my opinion and wait for others to bring up the suggestion., 我会保留自己的意见，等别人先提出建议,A,0,1,0,0,0,0,0,0,0
China,Chinese,"I am dining at a restaurant, and everyone disagrees on what to order. I want to eat spicy food, but my family doesn't like spicy food. What do you think I should do?",我和我的家人一起在外面吃饭，大家在点菜时意见不合，我想吃辣的菜，但家人不喜欢辣，你觉得我应该怎么做？,I will directly express that I want spicy food and explain why., 我会直接表达我想吃辣的菜，并说明理由,I will compromise and choose a dish that everyone can accept., 我会妥协，选择大家都能接受的菜,A,0,1,0,0,0,0,0,0,0
China,Chinese,"I am working in a company and notice a task I could do better, but a colleague has already taken over this task. What do you think I should do?",我在公司工作，发现有一项任务我可以做得更好，但同事已经接手了这个任务，你觉得我应该怎么做？,I will actively offer to help or take over and improve the task., 我会主动提出帮助他们，或者接手改进这项任务,I will not interfere and continue with my own work., 我会不去干涉，继续做自己的工作,A,0,1,0,0,0,0,0,0,0
China,Chinese,"My friend and I are going to see a movie, and everyone is excited to watch an action film, but I want to watch a documentary. What do you think I should do?",我和朋友一起去看一场电影，大家都很期待看动作片，但我想看纪录片，你觉得我应该怎么做？,I will directly express my interest and suggest we watch a documentary., 我会直接表达我的兴趣，建议大家一起看纪录片,I will compromise and go along with the group to watch the action film., 我会妥协，随大流去看动作片,A,0,1,0,0,0,0,0,0,0
