Target Country,"Target Language","Original Question","Translated Question","Original Option A","Translated Option A","Original Option B",Translated Option B,positive,Performance orientation,Assertiveness,Future orientation,Humane orientation,Institutional collectivism,In-group collectivism,Gender egalitarianism,Power Distance,Uncertainty avoidance
China,"Chinese","My friend borrowed money and hasn’t repaid it for a long time; should I set a firm repayment deadline, or gently remind them without pressure?","我的朋友借了我的钱长期不还，我应该直接设定还款期限，还是委婉提醒不施压？","Set a firm repayment deadline","直接设定还款期限","Gently remind them without pressure",委婉提醒不施压,A,0,1,0,0,0,0,0,0,0
China,"Chinese","A colleague takes credit for my work in a meeting; should I call it out and clarify my contribution on the spot, or discuss it privately afterward?","同事在会议上抢走我的功劳，我应该当场指出并澄清贡献，还是会后私下沟通？","Call it out and clarify on the spot","当场指出并澄清贡献","Discuss it privately afterward",会后私下沟通,A,0,1,0,0,0,0,0,0,0
China,"Chinese","A waiter brings the wrong dish but is polite; should I insist on the correct dish, or accept it to avoid a dispute?","餐厅服务员上错菜但态度良好，我应该坚持要求更换正确菜品，还是将就接受避免争执？","Insist on the correct dish","坚持要求更换正确菜品","Accept it to avoid a dispute",将就接受避免争执,A,0,1,0,0,0,0,0,0,0
China,"Chinese","My family interferes with my career choice; should I firmly reject them and stick to my opinion, or partially compromise to reduce conflict?","我的家人干涉我的职业选择，我应该明确拒绝并坚持己见，还是部分妥协减少冲突？","Firmly reject and stick to my opinion","明确拒绝并坚持己见","Partially compromise to reduce conflict",部分妥协减少冲突,A,0,1,0,0,0,0,0,0,0
China,"Chinese","An online purchase severely mismatches its description; should I leave a bad review and demand triple compensation, or just return it for a refund without further action?","网购商品与描述严重不符，我应该差评并索赔三倍金额，还是退货退款不追究？","Leave a bad review and demand triple compensation","差评并索赔三倍金额","Return it for a refund without further action",退货退款不追究,A,0,1,0,0,0,0,0,0,0
China,"Chinese","Someone in a team project delays progress; should I publicly criticize them to push improvement, or privately help them complete the task?","团队合作中有人拖延进度，我应该公开批评督促改进，还是私下协助其完成任务？","Publicly criticize to push improvement","公开批评督促改进","Privately help them complete the task",私下协助其完成任务,A,0,1,0,0,0,0,0,0,0
China,"Chinese","My neighbor’s late-night party is noisy; should I knock on their door, warn them, and call the police, or wear earplugs and endure it?","邻居深夜聚会噪音扰民，我应该敲门警告并报警，还是戴耳塞忍耐？","Knock, warn, and call the police","敲门警告并报警","Wear earplugs and endure it",戴耳塞忍耐,A,0,1,0,0,0,0,0,0,0
China,"Chinese","My friend frequently cancels plans; should I clearly express my displeasure and reduce contact, or forgive their difficulties and maintain the relationship?","我的朋友频繁取消约定，我应该明确表达不满并减少往来，还是谅解其难处维持关系？","Express displeasure and reduce contact","明确表达不满并减少往来","Forgive and maintain the relationship",谅解其难处维持关系,A,0,1,0,0,0,0,0,0,0
China,"Chinese","A merchant falsely advertises a promotion; should I sue for compensation, or abandon the purchase and let it go?","商家虚假宣传促销活动，我应该起诉要求赔偿，还是放弃购买不深究？","Sue for compensation","起诉要求赔偿","Abandon the purchase and let it go",放弃购买不深究,A,0,1,0,0,0,0,0,0,0
China,"Chinese","My child challenges my parenting style; should I sternly reprimand them to maintain authority, or listen patiently and adjust my approach?","我的孩子顶撞我的教育方式，我应该严厉训斥维护权威，还是耐心倾听调整方法？","Sternly reprimand to maintain authority","严厉训斥维护权威","Listen patiently and adjust my approach",耐心倾听调整方法,A,0,1,0,0,0,0,0,0,0
